63,20,5,25399
25,20,5,25399
70,20,7,25399
59,20,1,25399
5,20,9,25399
75,20,10,25399
25,20,3,25399
63,20,3,25399
57,20,1,25399
4,20,6,25399
82,20,6,25399
82,20,4,25399
4,20,4,25399
50,20,7,25399
50,20,3,25399
4,20,8,25399
82,20,8,25399
57,20,9,25399
50,20,5,25399
75,20,2,25399
70,20,5,25399
63,20,7,25399
25,20,7,25399
70,20,3,25399
5,20,1,25399
82,20,3,25399
4,20,3,25399
50,20,8,25399
4,20,5,25399
82,20,5,25399
57,20,2,25399
40,20,7,25399
25,20,4,25399
63,20,4,25399
75,20,9,25399
5,20,10,25399
63,20,6,25399
25,20,6,25399
70,20,8,25399
5,20,2,25399
70,20,4,25399
70,20,6,25399
63,20,8,25399
25,20,8,25399
75,20,1,25399
50,20,6,25399
57,20,10,25399
50,20,4,25399
4,20,7,25399
82,20,7,25399
70,20,1,25399
75,20,6,25399
5,20,3,25399
59,20,7,25399
75,20,4,25399
5,20,5,25399
25,20,9,25399
63,20,9,25399
57,20,7,25399
50,20,1,25399
82,20,10,25399
4,20,10,25399
4,20,2,25399
82,20,2,25399
50,20,9,25399
57,20,5,25399
57,20,3,25399
75,20,8,25399
63,20,1,25399
25,20,1,25399
70,20,9,25399
5,20,7,25399
50,20,2,25399
82,20,9,25399
4,20,9,25399
57,20,8,25399
25,20,10,25399
63,20,10,25399
75,20,3,25399
5,20,6,25399
75,20,5,25399
5,20,4,25399
70,20,2,25399
59,20,4,25399
5,20,8,25399
70,20,10,25399
63,20,2,25399
25,20,2,25399
75,20,7,25399
57,20,4,25399
57,20,6,25399
4,20,1,25399
82,20,1,25399
50,20,10,25399
