,Empirical,Maximum Entropy Prob.,True Prob.
0,"[0.736 0.156 0.084 0.02  0.002 0.002 0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.   ]","[7.04096409e-01 2.27297144e-01 5.15687584e-02 1.11733014e-02
 2.78029577e-03 1.01881113e-03 3.31311608e-04 3.01920004e-04
 1.81278648e-04 9.28617983e-05 3.74654727e-05 1.04104467e-04
 1.97190519e-04 2.25363213e-04 3.21933712e-04 2.54732732e-04
 1.66675636e-05 4.44390076e-07 5.89194782e-09 3.86993780e-11
 1.00671688e-13]","[7.13495203e-01 2.04419798e-01 5.85672528e-02 1.67797989e-02
 4.80749286e-03 1.37736977e-03 3.94623045e-04 1.13061395e-04
 3.23926321e-05 9.28064448e-06 2.65894916e-06 7.61801690e-07
 2.18259838e-07 6.25324906e-08 1.79158585e-08 5.13297941e-09
 1.47062322e-09 4.21340608e-10 1.20716105e-10 3.45857432e-11
 9.90898133e-12]"
1,"[0.34  0.246 0.14  0.096 0.054 0.036 0.024 0.02  0.02  0.012 0.004 0.006
 0.    0.    0.    0.002 0.    0.    0.    0.    0.   ]","[2.51667302e-01 2.49978407e-01 2.03069864e-01 1.31773871e-01
 7.54504088e-02 4.03357637e-02 2.12027418e-02 1.15269493e-02
 6.81552503e-03 4.14683281e-03 2.26135759e-03 1.03138635e-03
 4.35844619e-04 1.74966185e-04 7.22639638e-05 3.17552830e-05
 1.47167158e-05 6.76109937e-06 2.60014609e-06 6.32159242e-07
 5.00167972e-08]","[3.40813376e-01 2.24678024e-01 1.48116882e-01 9.76446669e-02
 6.43713318e-02 4.24361973e-02 2.79756655e-02 1.84426953e-02
 1.21581741e-02 8.01516235e-03 5.28392068e-03 3.48337520e-03
 2.29638246e-03 1.51386862e-03 9.98003704e-04 6.57924590e-04
 4.33730622e-04 2.85932848e-04 1.88498551e-04 1.24265904e-04
 8.19211326e-05]"
2,"[0.19  0.192 0.146 0.102 0.084 0.062 0.054 0.034 0.028 0.022 0.016 0.018
 0.012 0.006 0.008 0.008 0.008 0.006 0.002 0.    0.002]","[1.08885430e-01 1.59159809e-01 1.70338255e-01 1.48646454e-01
 1.15883873e-01 8.51112912e-02 6.14531828e-02 4.50841742e-02
 3.41116980e-02 2.61260237e-02 1.89702308e-02 1.14600923e-02
 6.58136656e-03 3.63403186e-03 2.02231877e-03 1.15567000e-03
 6.74360191e-04 3.88194432e-04 2.05306628e-04 8.70062979e-05
 2.12315219e-05]","[0.22236609 0.17317888 0.13487185 0.1050383  0.08180391 0.06370895
 0.04961658 0.03864143 0.03009398 0.02343721 0.01825292 0.01421539
 0.01107096 0.00862207 0.00671487 0.00522955 0.00407278 0.00317188
 0.00247026 0.00192384 0.00149829]"
