"File Number","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1","0.702","0.19469241462046175","0.0746274619760544","0.019598846674905572","0.005613996024398373","0.0014518849786429816","0.00045379679073317465","0.00015559129625256714","5.497904458304353e-05","3.7339360785240506e-05","1.5070436884014937e-05","5.015533058087054e-06","3.865889492981133e-07","6.836697837679265e-08","7.752362100559287e-06","1.3978792655083135e-05","1.047822352332229e-05","4.5798017737443656e-07","0.0003045248759434302","0.0005507820832739249","0.0004051739896395386"
"2","0.736","0.18102599550885257","0.06005812769790427","0.015887876316801403","0.0037970156128354256","0.00104750037118504","0.00036717216275837934","0.00013750056901539904","9.606518930376122e-05","5.560143149942955e-05","1.9619593142274686e-05","4.621584633324147e-06","5.545043065215615e-07","2.2738399105079435e-06","6.397900639528383e-05","0.00014316354656934469","0.00020856479672308375","0.0003254835560069273","0.0003774667654703261","0.0002899261406861546","9.149180600040445e-05"
"3","0.736","0.18183581749319505","0.057815525939418584","0.01598622620166139","0.0042915119260379395","0.0015519847090237056","0.0006205293390072163","0.00026431312003018367","0.0001501681093897106","0.00011097279089941433","7.480829796990288e-05","4.038717104869953e-05","3.642288903109705e-05","5.560662091808488e-05","5.138014602985739e-05","2.8994709672362712e-05","2.7971332209163614e-05","7.266070504256818e-05","0.0002601403623967217","0.0004660305805455768","0.00025854755647262273"
"4","0.742","0.1879598023327598","0.05121690376782326","0.012218560953992425","0.00335217839509346","0.0010622794848475885","0.0003270909343729481","0.00010717110269925223","3.67905622640167e-05","0.00010706172703243543","6.088183033757957e-05","6.806744782365205e-05","6.796911382043281e-05","9.845196694669209e-05","0.0001043294548480469","0.00012114020251345305","0.0001324122162098162","0.00020397227905424512","0.00045508190265112147","0.0002597474189307494","4.0106905979133584e-05"
"5","0.744","0.17864690359351604","0.055934007195400245","0.013984836822406387","0.003806143809367216","0.001200535525892518","0.0005701494488704242","0.00025902850560202483","8.27733343706852e-05","2.4297203522911748e-05","1.1342857413003121e-05","1.328305839317913e-05","3.74696996474097e-05","7.696568206277942e-05","0.00012859333625544103","0.0002100658864138362","0.0002917030251114837","0.0003483194514284912","0.0002664142035997554","9.61813811717028e-05","1.0985979554270074e-05"
"6","0.486","0.22459836260010513","0.15785075324944464","0.0765264821382541","0.030860802861546726","0.011782664552907761","0.004809954917470503","0.002193251926004506","0.0010742145001319035","0.0005571770880198264","0.000337003897972207","0.00021021149470901876","0.0001157351560804618","7.004662259012079e-05","6.375585633285058e-05","7.437494969398535e-05","0.00010227289946224286","0.00012485385960760734","0.0002644234553601649","0.0006280744952930506","0.0017555834790128056"
"7","0.52","0.21633548637022426","0.1427593634888722","0.06857484412901559","0.028353471846092125","0.011675309231108065","0.004940744125093171","0.00216770326721267","0.0009383276700010397","0.00041040713563063335","0.00022978198567680502","0.0001778442382098946","0.00014214875484582518","0.00023303692017552895","0.00044770168948409943","0.0005959551820049597","0.0004371523401550407","0.00041244518226912536","0.0006299842008341588","0.0004135378725192537","0.00012475437057526528"
"8","0.48","0.24743915603555774","0.14310876433850328","0.06794968157184807","0.03038307254138353","0.013671921848085276","0.0064300813886115525","0.003268968069957796","0.0018331454792950067","0.0011467935037255323","0.0008022637036501578","0.0006241780852696098","0.0005324638007185061","0.000488465312146446","0.0004714750980253311","0.0004633715932148091","0.0004445700968434362","0.0003965082352178674","0.0003066090469125287","0.0001804087017635201","5.8101549270014446e-05"
"9","0.49","0.20585599441122898","0.15893986576044916","0.08319711219272657","0.035071641387992125","0.013396507081899147","0.005154094205692173","0.0021523323490663915","0.0009915432118189245","0.0005123299266275081","0.00031814121057658663","0.00019570685905308477","0.00017065484506401208","0.0001262882309806313","0.00010864685400503793","0.0001279545706504422","0.0001546209261612399","0.0002367212860391648","0.0007350571624230132","0.001526805827878564","0.0010279816996675998"
"10","0.498","0.18536307688409606","0.16202704843636198","0.08888210835345789","0.03883960595234548","0.015008395881600245","0.00586700800118333","0.002385293357789712","0.0010604992203339877","0.0005114093255603131","0.000209805624247749","0.00010140543581501905","5.098453666961473e-05","4.962848130617728e-05","7.236606371459032e-05","7.626584405599087e-05","4.9739866032975563e-05","8.203706979647017e-05","0.0002740267862466484","0.0006171276470427324","0.0004721672323431923"
"11","0.372","0.18369387631678696","0.16877229991748674","0.11433395631782328","0.06654663905680996","0.036239427235256354","0.01962562927238592","0.0110777850606351","0.0066789606901767815","0.0043761687482737665","0.003058521722090715","0.002188690677897195","0.0015962295625139452","0.0012292614240575904","0.0010741655896569415","0.001155873769397087","0.0014188534240068748","0.001660824548104262","0.0016435949804214504","0.0011827209121082745","0.00044652077411065806"
"12","0.336","0.18037063897513295","0.18313723457344144","0.13174861691588005","0.07809262456377808","0.041427868571504115","0.02079465228749941","0.010400380100983521","0.005431978486590371","0.0030429687879532877","0.0018535005129179211","0.0012479909273718287","0.0009407367180924954","0.0008046220497231488","0.0007585903945931413","0.0007499288796505532","0.0007793061899448514","0.0008310902561762541","0.0008110058316124215","0.0005658104859839981","0.00021045449116976952"
"13","0.34","0.20175382878591636","0.1704127151354608","0.11491079546521898","0.06937858688935124","0.03990802285914722","0.022706148636264537","0.013136594213087736","0.007873522506571362","0.004934581471248076","0.003266638944824606","0.0023004050069127474","0.0017281166244918027","0.00139035101434986","0.0012062654688176967","0.0011314485371511096","0.0010837603095830684","0.0010368761224348092","0.0009464789258997857","0.0006682985893916119","0.00022656449387703978"
"14","0.326","0.19178300125724476","0.18533759394874155","0.129784876918336","0.07617799731156892","0.04068445471389797","0.020824289082745886","0.010607357011954923","0.005559578448103607","0.0030398393339497384","0.0017458371982859646","0.001087912479897993","0.000760175298664094","0.0006023225549393177","0.0005636220926611483","0.0006380602736632489","0.0007751614283411827","0.0008891756559715406","0.0009958193464039925","0.0012936475915918573","0.0008492780530353403"
"15","0.304","0.18688495271901073","0.18389493816378008","0.13322148133674006","0.08157051590132544","0.04627765854768706","0.025442247074826813","0.013933299970259645","0.007659602852053001","0.004334074850569098","0.002626145921900116","0.0017967079426499672","0.0012147587813089817","0.0008101827395822101","0.0006335686572522263","0.0005887301044613893","0.0006252978394975122","0.0007354898355853956","0.0009095591322929504","0.0011806627660907608","0.0016601248631262773"
"16","0.232","0.008482345424861277","0.0353737302169628","0.08399471029347927","0.13069179829533234","0.1458858751252285","0.12624258254826015","0.09173485162411772","0.06077845798774821","0.03881216374929121","0.02370760124889744","0.013120507693323059","0.006174191651564409","0.002285095150655932","0.0006015685595900899","0.00010332906140538857","1.0585920659394966e-05","5.902130964306801e-07","1.5106146778783648e-08","1.2930308586313296e-10","7.658055923577214e-14"
