"File Number","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"1","0.6997992242062441","0.17610705829669424","0.11208300882584062","0.0077638886025133","0.0018850617382331393","0.0004930456926611969","6.287848454599506e-05","1.0334308510749558e-05","6.638849087200473e-06","9.867317120373845e-06","3.961476031100316e-06","1.6551069601781862e-06","2.0925041527534338e-07","2.848921563948712e-07","5.1580757805282525e-06","1.1007881173230162e-05","9.502843444249066e-06","8.28900084127885e-06","0.00034298540344893737","0.0008056711865634133","0.0005902685617348848"
"2","0.7359788831824139","0.16376253630307014","0.09006320235925191","0.007097158785647172","0.0009397373703283683","0.0002853719515963342","7.739968135411932e-05","3.7257393124458076e-05","4.840295547256668e-05","2.813409200157643e-05","8.250588369909702e-06","2.2782852766857623e-06","2.8657432601266362e-06","5.339821808628436e-06","9.824980815162029e-05","0.00022796723166965523","0.0002520600458492106","0.0003151887833334414","0.00039890465974887776","0.00029949122918355883","7.131972908784707e-05"
"3","0.7354809602718786","0.15629472815821727","0.09591252710785834","0.009981841680206303","0.00040651940144089023","0.0002219273861777308","1.010793672731859e-09","6.97035458826662e-05","9.987617823281302e-05","0.0001127072249105216","3.8838466955417036e-08","1.629248837880929e-05","0.0001349708472135082","0.0003860593309126915","0.0008035152113451869","9.580344400336722e-13","2.4078604216857173e-11","7.754681781927536e-07","7.755582478422842e-05","8.813885377312206e-14","8.539392033069499e-28"
"4","0.7410271413077336","0.16598775286370032","0.0817123721370502","0.009051101884177635","0.0001952408757518234","0.00015811628540853435","1.6899934472556074e-06","3.920937106272646e-08","1.535832582682266e-05","0.00017742329470471567","1.675942066496008e-05","0.0016569994895576723","7.690558970862027e-11","4.773715427010523e-09","3.1228902578544724e-14","1.8598458824586077e-12","5.879418154418143e-11","1.0301241550999125e-14","1.286322912746893e-12","2.932121363144933e-21","1.353492214766547e-30"
"5","0.7440189158221802","0.15607846754585009","0.0928782365573084","0.004469447772329674","0.0005312704193456953","0.0003040136363325022","2.6497547283089437e-10","1.9330774120367998e-10","4.763490968699237e-13","2.6052434865331643e-12","3.847418711333482e-06","3.195124368659042e-05","0.00011134884985548272","0.0001709125794882927","0.00034776127609224074","0.0010469400519175756","1.0169139174905326e-06","5.869443824548314e-06","7.796057315113196e-12","2.5052441359464436e-18","2.075382779695208e-26"
"6","0.4858123281905998","0.2675760110363008","0.10343445406468264","0.07638944867872512","0.03872603379646306","0.015590444964590883","0.005807095254290981","0.0022923699369673104","0.0009509317709271819","0.00044871118145105716","0.0002799359902262461","0.00019147913023286577","0.00011555647110576416","8.471269605211026e-05","7.919467001516434e-05","8.540092209710852e-05","0.00011578237314542459","0.00014457698572731763","0.0003291413600696068","0.0007827235398589141","0.0007636669864707186"
"7","0.5206143828930888","0.2306708233622143","0.12714487761466092","0.061792792434052","0.028436638381161426","0.013454339691731525","0.006691873520976612","0.003459086935177343","0.0018869858702117185","0.0011025883372020719","0.0007071654395890956","0.0005280474470893339","0.00046351046108840236","0.0004602618475434524","0.0004910981839665853","0.0005232594659479815","0.0005158521881496702","0.00046284913054313304","0.0003500797866897812","0.0001907875062881817","5.269950262791967e-05"
"8","0.47830439967600435","0.2559740898539643","0.12997185076059523","0.0756399216959126","0.034032297807487746","0.013966657972746483","0.005248365176107458","0.0020671483869090838","0.0009538447044744925","0.0004994640493309187","0.0003213697288438662","0.0002473535501681847","0.00024640413587458603","0.0001709640986393683","0.00014010143480535758","0.00019334381424632519","0.0002156489589997142","0.00029966855250123666","0.00047478262887525475","0.0005600225427570987","0.00047230047075522336"
"9","0.49636754795094895","0.24773122390694013","0.10236002477086134","0.07904791159399055","0.03973643333184957","0.015837690787960292","0.006193067610295984","0.003275279487092149","0.0019521339860613203","0.0011671412163325819","0.0007369316808560525","0.0005008931959492647","0.0006326602743468029","0.001082422195133987","0.0015649231526627518","0.0008950732663218398","0.00041874204949742607","0.00020010648992115505","0.00021340237638995532","7.808828002544181e-05","8.302396561045198e-06"
"10","0.5257921106770472","0.21621437691096512","0.10349733235927021","0.07929959144877213","0.04171989013460835","0.017745100374909388","0.007478624953418681","0.0034436698120878305","0.0016411838494436305","0.0008063902254258832","0.0003604396358378801","0.00016578037955707777","0.0001083442168577315","0.00010725044832645253","0.0001233550020190373","0.00013254757965110156","0.00011119441239905981","0.00018241791395552006","0.0004181147859986479","0.0004821919522895647","0.00017009292715883617"
"11","0.36624802705224674","0.207482082812548","0.13702540409396638","0.11317803838424838","0.07342326041193847","0.04148863974864752","0.022108097387152924","0.011930574528392149","0.006804459560113281","0.004258848396674188","0.0029120074676974414","0.0020501150942336408","0.0014545562155370041","0.0010974886161015773","0.00098029819681669","0.001126628416491929","0.0014567174335354352","0.0017323292002667586","0.0016809337509194027","0.0011538464269404023","0.0004076468055320034"
"12","0.3355384646941504","0.23212895334864894","0.12234674996078118","0.11704237876048018","0.0839629850693595","0.04983015340023586","0.026293999457792743","0.013243105852926741","0.0068065012544114185","0.003721690416687334","0.002219810221962844","0.0014801520031286059","0.0011213354236220162","0.0009679780798256532","0.0008740943887420845","0.0007593983818252195","0.0006455695068607161","0.0005231316578995834","0.0003422770007340534","0.00012980570878688168","2.1465411137638632e-05"
