"File Number","0","1","2","3","4"
"1","0.4999757982347547","0.2999847085413119","4.112945665751418e-07","0.10006905483587407","0.09997002709349269"
"2","0.49994437884868764","0.3000178125419844","8.460130113446485e-09","0.10003027934136385","0.10000752080783513"
"3","0.4999991343828163","0.29999335080923006","3.1566116850195343e-07","0.10000436600533004","0.10000283314145493"
"4","0.5000096179964421","0.29997875021101916","4.4199333929129806e-07","0.1000062915809184","0.10000489821828158"
"5","0.5000011906027805","0.3000115754310352","5.444792576076765e-07","0.09998428112620443","0.10000240836072297"
"6","0.30000165369859394","0.40000583872093454","0.19999480907190348","9.248121426424381e-10","0.09999769758375603"
"7","0.30014450089977374","0.39982361276396006","0.20001400502626931","7.89929971234302e-11","0.10001788123100355"
"8","0.3000399882117974","0.3999628052361959","0.19997173371820154","2.752465465247803e-10","0.1000254725585592"
"9","0.30000411023710183","0.39997743633599286","0.20001870382084255","1.0536699694440272e-10","0.09999974950069611"
"10","0.300051182598961","0.3999483318821206","0.20001875845446287","1.281442290571152e-09","0.09998172578301263"
"11","0.3001145168376393","0.19994766603476105","0.29995253514712716","0.09999048924958322","0.09999479273089211"
"12","0.3000087769017023","0.20001691243500222","0.30002770272111723","0.09997769466315999","0.09996891327901739"
"13","0.2999712247571889","0.20017798422988795","0.29989694321198634","0.09992079005340103","0.10003305774753563"
"14","0.30003344034665286","0.19997559248202024","0.30000406631026966","0.10000775661076011","0.09997914425029768"
"15","0.30001718201453276","0.20001025314516008","0.29999754606970686","0.09998467588010236","0.09999034289049716"
"16","0.30002135292815624","0.0999862943171053","0.2999949919137533","0.19999957905379084","0.09999778178719398"
"17","0.3000028179028781","0.0999998377318467","0.30000472873567874","0.19999651383515982","0.09999610179443776"
"18","0.3000411481298592","0.10001407207383119","0.29996528786933097","0.19997555336292538","0.1000039385640541"
"19","0.29998935962563017","0.10001534541182032","0.2999821998770242","0.20002773463733525","0.09998536044819159"
"20","0.29999025653501643","0.10003289511175384","0.29989575973155547","0.20005311661644162","0.10002797200523288"
"21","0.29995645020419154","0.15001030910935156","0.33330257039323663","0.18338263834626006","0.03334803194695986"
"22","0.2999914738320528","0.1499925405816393","0.33335495864218684","0.18333174966787905","0.03332927727624267"
"23","0.29997514324240243","0.1500505247279886","0.3333485238608083","0.18329513219514576","0.033330675973655244"
"24","0.2999856945205007","0.15001835823635418","0.3333185541673286","0.18333537957141538","0.03334201350439981"
"25","0.29996410482554775","0.15003085174309905","0.3333762238677205","0.1833030635028189","0.033325756060814025"
