"File Number","0","1","2","3","4"
"1","0.6800009187557269","0.18001587798208035","0.05998926602897982","0.059996481784135317","0.019997455449077592"
"2","0.6800013149654416","0.1799883445808902","0.06000308055134714","0.06001306870654995","0.019994191195770814"
"3","0.6800017574482363","0.17999154831665248","0.06000449466338696","0.06000276891161012","0.019999430660114333"
"4","0.6799863260833908","0.1800119650203343","0.05998665515748136","0.06001993328039328","0.019995120458400486"
"5","0.6799829834092381","0.17997991820893022","0.059993870435595835","0.060028591604762274","0.020014636341474018"
"6","0.4799991663306745","0.3000062482940863","0.15998973948895934","0.02000084278726505","0.0400040030990151"
"7","0.4800013531860651","0.3000568027496625","0.15994187151798567","0.020022800731011273","0.03997717181527526"
"8","0.47997061825192955","0.30006119484517824","0.15996298516108007","0.02000397253760936","0.040001229204202446"
"9","0.480004082068933","0.29997693482500076","0.1600229292766699","0.019995394697377055","0.04000065913201964"
"10","0.4799565366022478","0.3000588178943666","0.15996683257139335","0.020004860147049924","0.04001295278494233"
"11","0.3999835645457037","0.26000711208449623","0.20000582310156712","0.10000403654543705","0.03999946372279542"
"12","0.3999928843838248","0.26005085675791373","0.19993409429763037","0.1000244896599255","0.039997674900706194"
"13","0.39998616649997804","0.25999925176406424","0.2000088910888482","0.10000052740242518","0.04000516324468393"
"14","0.40004643663547296","0.25994648218356387","0.2000029917128088","0.10001952627967128","0.03998456318848317"
"15","0.4000314428644766","0.25999271429245385","0.2000094879712864","0.09997759379533219","0.03998876107645116"
"16","0.3800039468802852","0.21997543887152213","0.15997805007103882","0.18002887930926184","0.060013684867892124"
"17","0.38002337252332313","0.21998914642472014","0.1600042528671477","0.18000570171557198","0.05997752646923717"
"18","0.38000196568298966","0.21999457323128618","0.15999989955144472","0.1800047172001852","0.05999884433409438"
"19","0.38000827012123173","0.21996457272742886","0.1600263794317866","0.18000206199006127","0.05999871572949147"
"20","0.37997932038249127","0.21999569093367302","0.1600324389935437","0.18001746495359847","0.059975084736693704"
"21","0.3799714140823615","0.22007018647361093","0.1599609804245184","0.1999781491613305","0.040019269858178504"
"22","0.3799755825059362","0.22001411475741275","0.16002435657544753","0.19998777685114685","0.03999816931005653"
"23","0.3799844333286622","0.22000654937649092","0.1599978944689333","0.20002559825667013","0.03998552456924324"
"24","0.3800443740508183","0.2200002996079369","0.1600211501692647","0.19993297477155123","0.040001201400429155"
"25","0.37995280439454354","0.22001940917674417","0.16003538801256487","0.19998040918228469","0.04001198923386275"
