"File Number","0","1","2","3","4"
"1","0.68","0.10037109375","0.118662109375","0.05974609374999999","0.010766601562499993"
"2","0.68","0.10037109375","0.118662109375","0.05974609374999999","0.010766601562499993"
"3","0.68","0.10037109375","0.118662109375","0.05974609374999999","0.010766601562499993"
"4","0.68","0.10037109375","0.118662109375","0.05974609374999999","0.010766601562499993"
"5","0.68","0.10037109375","0.118662109375","0.05974609374999999","0.010766601562499993"
"6","0.48","0.1780609922621757","0.1810150204824761","0.08161128812016386","0.01376877560309513"
"7","0.48","0.1780609922621757","0.1810150204824761","0.08161128812016386","0.01376877560309513"
"8","0.48","0.1780609922621757","0.1810150204824761","0.08161128812016386","0.01376877560309513"
"9","0.48","0.1780609922621757","0.1810150204824761","0.08161128812016386","0.01376877560309513"
"10","0.48","0.1780609922621757","0.1810150204824761","0.08161128812016386","0.01376877560309513"
"11","0.4","0.17066666666666663","0.22866666666666663","0.1293333333333333","0.025999999999999992"
"12","0.4","0.17066666666666663","0.22866666666666663","0.1293333333333333","0.025999999999999992"
"13","0.4","0.17066666666666663","0.22866666666666663","0.1293333333333333","0.025999999999999992"
"14","0.4","0.17066666666666663","0.22866666666666663","0.1293333333333333","0.025999999999999992"
"15","0.4","0.17066666666666663","0.22866666666666663","0.1293333333333333","0.025999999999999992"
"16","0.38","0.13169077909435734","0.2481662246987345","0.17785102883421167","0.03960592125138464"
"17","0.38","0.13169077909435734","0.2481662246987345","0.17785102883421167","0.03960592125138464"
"18","0.38","0.13169077909435734","0.2481662246987345","0.17785102883421167","0.03960592125138464"
"19","0.38","0.13169077909435734","0.2481662246987345","0.17785102883421167","0.03960592125138464"
"20","0.38","0.13169077909435734","0.2481662246987345","0.17785102883421167","0.03960592125138464"
"21","0.38","0.1371635728911416","0.24699137323352688","0.17243932731361822","0.03788392467523749"
"22","0.38","0.1371635728911416","0.24699137323352688","0.17243932731361822","0.03788392467523749"
"23","0.38","0.1371635728911416","0.24699137323352688","0.17243932731361822","0.03788392467523749"
"24","0.38","0.1371635728911416","0.24699137323352688","0.17243932731361822","0.03788392467523749"
"25","0.38","0.1371635728911416","0.24699137323352688","0.17243932731361822","0.03788392467523749"
