"File Number","0","1","2","3","4"
"1","0.26265599999999995","0.42585600000000007","0.24569600000000005","0.060416000000000025","0.005376000000000004"
"2","0.26265599999999995","0.42585600000000007","0.24569600000000005","0.060416000000000025","0.005376000000000004"
"3","0.26265599999999995","0.42585600000000007","0.24569600000000005","0.060416000000000025","0.005376000000000004"
"4","0.26265599999999995","0.42585600000000007","0.24569600000000005","0.060416000000000025","0.005376000000000004"
"5","0.26265599999999995","0.42585600000000007","0.24569600000000005","0.060416000000000025","0.005376000000000004"
"6","0.14622719999999995","0.3786752","0.3386112","0.12184320000000004","0.014643199999999999"
"7","0.14622719999999995","0.3786752","0.3386112","0.12184320000000004","0.014643199999999999"
"8","0.14622719999999995","0.3786752","0.3386112","0.12184320000000004","0.014643199999999999"
"9","0.14622719999999995","0.3786752","0.3386112","0.12184320000000004","0.014643199999999999"
"10","0.14622719999999995","0.3786752","0.3386112","0.12184320000000004","0.014643199999999999"
"11","0.169728","0.39212800000000003","0.318848","0.10700800000000002","0.012288"
"12","0.169728","0.39212800000000003","0.318848","0.10700800000000002","0.012288"
"13","0.169728","0.39212800000000003","0.318848","0.10700800000000002","0.012288"
"14","0.169728","0.39212800000000003","0.318848","0.10700800000000002","0.012288"
"15","0.169728","0.39212800000000003","0.318848","0.10700800000000002","0.012288"
