Diseases ,0,1,2,3,4
File Number,,,,,
3,0.76,0.014625134,0.052765776,0.097924275,0.074684815
,,,,,
13,0.42,0.001634529,0.008221627,0.050245123,0.519898721
,,,,,
23,0.22,0.000756155,0.004192343,0.031572439,0.743479062
