Exponent,# Diseases,Power Divergence
1.25,4.0,0.2066
0.83,4.0,0.1955
0.63,4.0,0.0589
0.5,4.0,0.0733
0.42,4.0,0.1275
1.25,7.0,0.4114
0.83,7.0,0.8144
0.63,7.0,0.5926
0.5,7.0,0.555
0.42,7.0,0.3688
1.25,10.0,0.1691
0.83,10.0,0.3243
0.63,10.0,0.5992
0.5,10.0,0.4889
0.42,10.0,0.3289
1.25,15.0,0.1365
0.83,15.0,0.3215
0.63,15.0,0.6831
0.5,15.0,0.5677
0.42,15.0,1.4377
