,Empirical,Maximum Entropy (Exact) Prob.,True Prob.,Forced Partitioning,Piecewise Likelihood
0,0.7514,0.7514,0.7135,0.7514,0.0
1,0.1886,0.197,0.2044,0.197,0.0
2,0.0429,0.0395,0.0586,0.0395,0.002
3,0.0114,0.0071,0.0168,0.0071,0.0131
4,0.0029,0.0014,0.0048,0.0014,0.0413
5,0.0,0.0006,0.0014,0.0006,0.0919
6,0.0029,0.0002,0.0004,0.0002,0.1532
7,0.0,0.0001,0.0001,0.0001,0.197
8,0.0,0.0001,0.0,0.0001,0.197
9,0.0,0.0005,0.0,0.0005,0.1532
10,0.0,0.0004,0.0,0.0004,0.0919
11,0.0,0.0002,0.0,0.0002,0.0418
12,0.0,0.0009,0.0,0.0009,0.0139
13,0.0,0.0004,0.0,0.0004,0.0032
14,0.0,0.0001,0.0,0.0001,0.0005
15,0.0,0.0,0.0,0.0,0.0
