,Empirical,Maximum Entropy (Exact) Prob.,True Prob.,Reg. Prob
0,0.728,0.728,0.7135,0.7273
1,0.184,0.1915,0.2044,0.1788
2,0.052,0.0532,0.0586,0.0643
3,0.036,0.0205,0.0168,0.0207
4,0.0,0.0034,0.0048,0.0059
5,0.0,0.0015,0.0014,0.0019
6,0.0,0.0005,0.0004,0.0007
7,0.0,0.0001,0.0001,0.0002
8,0.0,0.0,0.0,0.0001
9,0.0,0.0011,0.0,0.0001
10,0.0,0.0002,0.0,0.0
