,Empirical,Maximum Entropy (Exact) Prob.,True Prob.,Perturb. Prob
0,0.244,0.244,0.2363,0.152
1,0.2,0.1909,0.184,0.1728
2,0.132,0.1446,0.1433,0.1682
3,0.136,0.1177,0.1116,0.1413
4,0.064,0.0905,0.0869,0.1128
5,0.052,0.064,0.0677,0.0878
6,0.068,0.0439,0.0527,0.0667
7,0.036,0.0313,0.0411,0.0484
8,0.028,0.0244,0.032,0.0312
9,0.016,0.0229,0.0249,0.015
10,0.024,0.0257,0.0194,0.0037
