,Empirical,Maximum Entropy (Exact) Prob.,True Prob.,Forced Partitioning,Piecewise Likelihood
0,0.728,0.728,0.7135,0.728,0.001
1,0.184,0.1915,0.2044,0.1915,0.0004
2,0.052,0.0532,0.0586,0.0532,0.0169
3,0.036,0.0205,0.0168,0.0205,0.1139
4,0.0,0.0034,0.0048,0.0034,0.2149
5,0.0,0.0015,0.0014,0.0015,0.2579
6,0.0,0.0005,0.0004,0.0005,0.2149
7,0.0,0.0001,0.0001,0.0001,0.1228
8,0.0,0.0,0.0,0.0,0.0461
9,0.0,0.0011,0.0,0.0011,0.0102
10,0.0,0.0002,0.0,0.0002,0.001
