,Empirical,Maximum Entropy (Exact) Prob.,True Prob.,Reg. Prob
0,0.28,0.28,0.31,0.2799
1,0.22,0.22,0.2414,0.2195
2,0.19,0.19,0.188,0.1911
3,0.165,0.165,0.1464,0.1645
4,0.145,0.145,0.1141,0.1451
