,Empirical,Maximum Entropy (Exact) Prob.,True Prob.,Forced Partitioning,Piecewise Likelihood
0,0.34,0.3357,0.3408,0.264,0.0
1,0.246,0.1908,0.2247,0.2424,0.0
2,0.14,0.1813,0.1481,0.2002,0.0
3,0.096,0.1251,0.0976,0.1312,0.001
4,0.054,0.0727,0.0644,0.0751,0.0046
5,0.036,0.0391,0.0424,0.0397,0.0148
6,0.024,0.0206,0.028,0.0202,0.037
7,0.02,0.011,0.0184,0.0103,0.074
8,0.02,0.006,0.0122,0.0056,0.1202
9,0.012,0.0034,0.008,0.0033,0.1602
10,0.004,0.002,0.0053,0.0022,0.1763
11,0.006,0.0013,0.0035,0.0018,0.1602
12,0.0,0.0009,0.0023,0.0015,0.1202
13,0.0,0.0008,0.0015,0.0013,0.074
14,0.0,0.0008,0.001,0.0008,0.037
15,0.002,0.0009,0.0007,0.0003,0.0148
16,0.0,0.0012,0.0004,0.0001,0.0046
17,0.0,0.0018,0.0003,0.0,0.0011
18,0.0,0.0023,0.0002,0.0,0.0002
19,0.0,0.0019,0.0001,0.0,0.0
20,0.0,0.0004,0.0001,0.0,0.0
