,Empirical,Maximum Entropy (Exact) Prob.,True Prob.,Perturb. Prob
0,0.28,0.28,0.31,0.1948
1,0.22,0.22,0.2414,0.2148
2,0.19,0.19,0.188,0.2356
3,0.165,0.165,0.1464,0.1948
4,0.145,0.145,0.1141,0.16
