,Empirical,Maximum Entropy (Exact) Prob.,True Prob.,Forced Partitioning,Piecewise Likelihood
0,0.19,0.1322,0.2224,0.1144,0.0
1,0.192,0.0297,0.1732,0.1719,0.0
2,0.146,0.0822,0.1349,0.1765,0.0
3,0.102,0.1359,0.105,0.1481,0.001
4,0.084,0.1556,0.0818,0.11,0.0046
5,0.062,0.1359,0.0637,0.0772,0.0148
6,0.054,0.0978,0.0496,0.0534,0.037
7,0.034,0.0624,0.0386,0.0375,0.0739
8,0.028,0.0384,0.0301,0.0272,0.1202
9,0.022,0.0251,0.0234,0.0207,0.1602
10,0.016,0.0189,0.0183,0.0164,0.1762
11,0.018,0.0165,0.0142,0.0134,0.1602
12,0.012,0.0156,0.0111,0.0111,0.1202
13,0.006,0.015,0.0086,0.009,0.0739
14,0.008,0.0137,0.0067,0.0067,0.037
15,0.008,0.0113,0.0052,0.0041,0.0148
16,0.008,0.008,0.0041,0.0017,0.0046
17,0.006,0.0043,0.0032,0.0006,0.0011
18,0.002,0.0014,0.0025,0.0001,0.0002
19,0.0,0.0002,0.0019,0.0,0.0
20,0.002,0.0,0.0015,0.0,0.0
