,Empirical,Maximum Entropy Prob.,True Prob.
0,0.7514,0.7514,0.7135
1,0.1886,0.197,0.2044
2,0.0429,0.0395,0.0586
3,0.0114,0.0071,0.0168
4,0.0029,0.0014,0.0048
5,0.0,0.0006,0.0014
6,0.0029,0.0002,0.0004
7,0.0,0.0001,0.0001
8,0.0,0.0001,0.0
9,0.0,0.0005,0.0
10,0.0,0.0004,0.0
11,0.0,0.0002,0.0
12,0.0,0.0009,0.0
13,0.0,0.0004,0.0
14,0.0,0.0001,0.0
15,0.0,0.0,0.0
