,Empirical,Maximum Entropy (Exact) Prob.,True Prob.,Reg. Prob
0,0.34,0.2517,0.3408,0.2156
1,0.246,0.25,0.2247,0.2656
2,0.14,0.2031,0.1481,0.2185
3,0.096,0.1318,0.0976,0.1421
4,0.054,0.0755,0.0644,0.0804
5,0.036,0.0403,0.0424,0.0421
6,0.024,0.0212,0.028,0.0205
7,0.02,0.0115,0.0184,0.0092
8,0.02,0.0068,0.0122,0.0038
9,0.012,0.0041,0.008,0.0014
10,0.004,0.0023,0.0053,0.0005
11,0.006,0.001,0.0035,0.0002
12,0.0,0.0004,0.0023,0.0001
13,0.0,0.0002,0.0015,0.0
14,0.0,0.0001,0.001,0.0
15,0.002,0.0,0.0007,0.0
16,0.0,0.0,0.0004,0.0
17,0.0,0.0,0.0003,0.0
18,0.0,0.0,0.0002,0.0
19,0.0,0.0,0.0001,0.0
20,0.0,0.0,0.0001,0.0
