,Empirical,Maximum Entropy Prob.,True Prob.
0,0.352,0.352,0.3443
1,0.228,0.2136,0.227
2,0.148,0.1552,0.1496
3,0.084,0.0981,0.0986
4,0.056,0.0616,0.065
5,0.044,0.0366,0.0429
6,0.012,0.02,0.0283
7,0.02,0.014,0.0186
8,0.032,0.0118,0.0123
9,0.012,0.0149,0.0081
10,0.012,0.0222,0.0053
