,Empirical,Maximum Entropy (Exact) Prob.,True Prob.,Perturb. Prob
0,0.244,0.244,0.2363,0.092
1,0.2,0.1909,0.184,0.1886
2,0.132,0.1446,0.1433,0.1719
3,0.136,0.1177,0.1116,0.1385
4,0.064,0.0905,0.0869,0.1084
5,0.052,0.064,0.0677,0.0858
6,0.068,0.0439,0.0527,0.0693
7,0.036,0.0313,0.0411,0.0565
8,0.028,0.0244,0.032,0.0444
9,0.016,0.0229,0.0249,0.0305
10,0.024,0.0257,0.0194,0.0142
