,Empirical,Maximum Entropy (Exact) Prob.,True Prob.,Reg. Prob
0,0.385,0.385,0.3892,0.3799
1,0.205,0.205,0.2566,0.2107
2,0.205,0.205,0.1692,0.2
3,0.105,0.105,0.1115,0.1123
4,0.1,0.1,0.0735,0.0972
