,Empirical,Maximum Entropy Prob.,True Prob.
0,0.385,0.385,0.3892
1,0.205,0.205,0.2566
2,0.205,0.205,0.1692
3,0.105,0.105,0.1115
4,0.1,0.1,0.0735
