,Empirical,Maximum Entropy (Exact) Prob.,True Prob.,Perturb. Prob
0,0.28,0.28,0.31,0.1299
1,0.22,0.22,0.2414,0.2047
2,0.19,0.19,0.188,0.2507
3,0.165,0.165,0.1464,0.2298
4,0.145,0.145,0.1141,0.185
