,Empirical,Maximum Entropy (Exact) Prob.,True Prob.,Perturb. Prob
0,0.28,0.28,0.31,0.2649
1,0.22,0.22,0.2414,0.2243
2,0.19,0.19,0.188,0.1864
3,0.165,0.165,0.1464,0.1743
4,0.145,0.145,0.1141,0.1501
