,Empirical,Maximum Entropy (Exact) Prob.,True Prob.,Reg. Prob
0,0.352,0.352,0.3443,0.2769
1,0.228,0.2136,0.227,0.2499
2,0.148,0.1552,0.1496,0.1643
3,0.084,0.0981,0.0986,0.1117
4,0.056,0.0616,0.065,0.0786
5,0.044,0.0366,0.0429,0.0563
6,0.012,0.02,0.0283,0.0369
7,0.02,0.014,0.0186,0.0185
8,0.032,0.0118,0.0123,0.0059
9,0.012,0.0149,0.0081,0.001
10,0.012,0.0222,0.0053,0.0001
