Exponent,Support,Constraints,Power Divergence,Dataset
0.42,0.08199999999999999,11.0,0.19151826168809755,1
0.42,0.1,11.0,0.2077681388733461,21
0.42,0.1,11.0,0.18873832644711588,6
0.42,0.046,11.0,0.2696106903452397,20
0.42,0.1,8.0,0.15878947915623098,13
0.42,0.1,6.0,0.07728088499683684,19
0.42,0.01,11.0,0.3875332165245678,8
0.42,0.1,6.0,0.12511612109753095,18
0.42,0.08199999999999999,4.0,0.1453026224604534,9
0.42,0.08199999999999999,4.0,0.3313254961307423,17
0.42,0.064,11.0,0.2319366606950931,10
0.42,0.08199999999999999,8.0,0.1850202737757092,16
0.42,0.1,9.0,0.18869516991257573,11
0.42,0.055,9.0,0.2512147290662876,15
0.42,0.08199999999999999,10.0,0.24277477693477836,12
0.42,0.019,11.0,0.5145356699666069,14
0.42,0.046,11.0,0.3058044498551753,5
0.42,0.08199999999999999,4.0,0.4233038173974413,22
0.42,0.01,11.0,0.22512147404924035,7
0.42,0.08199999999999999,6.0,0.4967864433836013,25
0.42,0.1,4.0,0.15994229638845292,3
0.42,0.08199999999999999,9.0,0.22233767599433768,2
0.42,0.08199999999999999,2.0,0.2837871260125957,23
0.42,0.08199999999999999,6.0,0.3435001248358536,4
0.42,0.091,7.0,0.24662261533512495,24
0.5,0.08199999999999999,9.0,0.0918427544538011,12
0.5,0.1,3.0,0.18704068562434206,15
0.5,0.1,9.0,0.2272913077077094,11
0.5,0.1,4.0,0.3811324939145331,22
0.5,0.1,9.0,0.19412745787966912,14
0.5,0.073,5.0,0.09932565676300388,16
0.5,0.091,1.0,0.2752385434855674,10
0.5,0.08199999999999999,9.0,0.2293429289738141,2
0.5,0.064,6.0,0.14309183923037386,17
0.5,0.046,6.0,0.16465838770288868,9
0.5,0.1,6.0,0.19366097497711104,1
0.5,0.046,5.0,0.22370969172242575,25
0.5,0.055,10.0,0.2563032413676415,24
0.5,0.027999999999999997,11.0,0.3632924390954392,13
0.5,0.1,10.0,0.3180831177702207,20
0.5,0.08199999999999999,9.0,0.2996052804403445,8
0.5,0.064,4.0,0.15778092705761984,3
0.5,0.1,8.0,0.2487697737088149,4
0.5,0.1,0.0,0.22093526196257185,19
0.5,0.1,6.0,0.1946651378628399,5
0.5,0.091,6.0,0.3099728114014962,7
0.5,0.08199999999999999,6.0,0.4622012040571346,23
0.5,0.1,5.0,0.19726862498464606,18
0.5,0.1,9.0,0.41492626527937815,21
0.5,0.055,11.0,0.3132717879596628,6
0.63,0.08199999999999999,7.0,0.4228466713218912,14
0.63,0.08199999999999999,8.0,0.4973831664793486,21
0.63,0.064,4.0,0.10902331858207402,25
0.63,0.08199999999999999,4.0,0.10114083267690907,18
0.63,0.046,11.0,0.2481400163266509,20
0.63,0.1,0.0,0.2077238171700066,23
0.63,0.046,6.0,0.18175630589976996,16
0.63,0.046,6.0,0.2613719244890966,19
0.63,0.08199999999999999,6.0,0.2525360438777935,24
0.63,0.064,6.0,0.2048047446510446,17
0.63,0.037000000000000005,3.0,0.3758743236674433,15
0.63,0.1,5.0,0.08262603789733465,22
0.63,0.1,8.0,0.30687810002332694,13
