Exponent,Support,Constraints,Power Divergence,Dataset
0.42,0.064,39.0,0.9714525647101592,1
0.42,0.055,32.0,0.3989054417192341,21
0.42,0.046,32.0,0.7013788137705204,6
0.42,0.055,41.0,0.6871490447909515,20
0.42,0.055,39.0,0.5893062243406026,13
0.42,0.037000000000000005,38.0,0.7725570637062724,19
0.42,0.046,43.0,0.3874086564782656,8
0.42,0.064,28.0,0.8882363251166849,18
0.42,0.055,36.0,0.7107808052477933,9
0.42,0.055,36.0,0.5264104154065283,17
0.42,0.064,30.0,0.2775515206932604,10
0.42,0.064,47.0,0.5231187927615929,16
0.42,0.046,51.0,0.9412888332951388,11
0.42,0.064,32.0,0.742532920771891,15
0.42,0.064,31.0,0.5709399643627148,12
0.42,0.064,40.0,0.8612456381281139,14
0.42,0.055,31.0,0.4334893280380666,5
0.42,0.064,34.0,0.4243474934380834,22
0.42,0.055,34.0,0.4250502929499688,7
0.42,0.046,36.0,0.4894339038878288,25
0.42,0.055,35.0,0.4592782448206768,3
0.42,0.046,41.0,0.6163896240890275,2
0.42,0.064,35.0,0.613758628341079,23
0.42,0.046,37.0,0.5548078924141053,4
0.42,0.064,41.0,1.1615763037068434,24
0.5,0.037000000000000005,44.0,0.5965756272889241,12
0.5,0.037000000000000005,37.0,0.4170636052499908,15
0.5,0.037000000000000005,35.0,0.9064506504685632,11
0.5,0.027999999999999997,41.0,0.3953148401343733,22
0.5,0.046,37.0,1.0091129419883114,14
0.5,0.046,36.0,0.2939545721536945,16
0.5,0.027999999999999997,36.0,0.2375464086404363,10
0.5,0.037000000000000005,23.0,0.6005042586215724,2
0.5,0.037000000000000005,40.0,0.5345193925908449,17
0.5,0.037000000000000005,43.0,0.85558590058742,9
0.5,0.046,34.0,1.0470775126750889,1
0.5,0.027999999999999997,33.0,0.4320183299365941,25
0.5,0.055,36.0,1.2906344109760033,24
0.5,0.046,33.0,0.3997747027491407,13
0.5,0.037000000000000005,40.0,0.543492983083003,20
0.5,0.027999999999999997,27.0,0.4331539462313545,8
0.5,0.046,31.0,0.4784938666726427,3
0.5,0.037000000000000005,37.0,0.6149089221770156,4
0.5,0.019,43.0,0.6758671608045027,19
0.5,0.037000000000000005,25.0,0.4242604937529887,5
0.5,0.046,30.0,0.5680750627263909,7
0.5,0.037000000000000005,35.0,0.3365321653327085,23
0.5,0.1,0.0,1.045978752139765,18
0.5,0.037000000000000005,35.0,0.4268932883047909,21
0.5,0.027999999999999997,31.0,0.4861092743620518,6
0.63,0.027999999999999997,28.0,0.9355312821186594,14
0.63,0.027999999999999997,19.0,0.4188412261966397,21
0.63,0.027999999999999997,8.0,0.38719002944702174,25
0.63,0.073,0.0,0.4844288239537501,18
0.63,0.019,33.0,0.4461935455821238,20
0.63,0.027999999999999997,12.0,0.8196832168524223,23
0.63,0.027999999999999997,33.0,0.4992719585224165,16
0.63,0.027999999999999997,20.0,0.5458811665415887,19
0.63,0.1,0.0,1.025287067311921,24
0.63,0.046,0.0,0.5319059824674384,17
0.63,0.027999999999999997,20.0,0.5556986013368852,15
0.63,0.019,36.0,0.4265965881137783,22
0.63,0.027999999999999997,21.0,0.5295349747243937,13
0.63,0.019,45.0,0.4830409636410494,4
0.63,0.073,0.0,0.7217381164889655,1
0.63,0.019,36.0,0.4093612563063779,7
0.63,0.055,0.0,0.5899838772915703,12
0.63,0.1,0.0,0.4650099782453952,2
0.63,0.08199999999999999,0.0,0.5310634450969475,6
0.63,0.1,0.0,0.4316654935635378,3
0.63,0.019,36.0,0.6406976283175105,11
0.63,0.1,0.0,0.7905764673314856,9
0.63,0.027999999999999997,19.0,0.3497373173709072,8
0.63,0.1,0.0,0.37449496988251785,10
0.63,0.027999999999999997,11.0,0.39875958849193105,5
0.83,0.1,0.0,0.2992931645086445,25
0.83,0.08199999999999999,0.0,0.4453409463778392,6
0.83,0.055,0.0,0.4128178903390421,20
0.83,0.01,21.0,0.3338185302745523,5
0.83,0.01,31.0,0.3653191541955225,13
0.83,0.046,0.0,0.3632510610866917,4
0.83,0.08199999999999999,0.0,0.34252897394402604,22
0.83,0.064,0.0,0.290189637507305,3
0.83,0.01,29.0,0.5330536166959646,23
0.83,0.01,24.0,0.3302644854371701,2
0.83,0.08199999999999999,0.0,0.4980324331793613,24
0.83,0.064,0.0,0.39069133220307,1
0.83,0.019,12.0,0.4290269821361968,21
0.83,0.08199999999999999,0.0,0.406678788535086,7
0.83,0.055,0.0,0.549339683666138,19
0.83,0.019,10.0,0.2910270848385097,12
0.83,0.019,1.0,0.3030415831574597,18
0.83,0.01,41.0,0.3526981888197717,8
0.83,0.01,34.0,0.7539931473355397,11
0.83,0.1,0.0,0.2340077334376928,10
0.83,0.073,0.0,0.3620367346333527,17
0.83,0.055,0.0,0.5128993325693114,9
0.83,0.055,0.0,0.5114473106636406,15
0.83,0.01,39.0,0.8945224474828887,14
0.83,0.08199999999999999,0.0,0.3202499289988408,16
1.25,0.08199999999999999,0.0,0.3572294345638861,11
1.25,0.08199999999999999,0.0,0.2192540561682674,23
1.25,0.073,0.0,0.2740083858060789,7
1.25,0.08199999999999999,0.0,0.4459306895378797,14
1.25,0.091,0.0,0.2573570962416487,24
1.25,0.091,0.0,0.14597397536356507,1
1.25,0.091,0.0,0.19862174898782411,12
1.25,0.073,0.0,0.2553211322569739,13
1.25,0.091,0.0,0.10843379226509972,2
1.25,0.073,0.0,0.21074938277178865,3
1.25,0.019,0.0,0.1452421352966122,10
1.25,0.091,0.0,0.18553627017017646,15
1.25,0.1,0.0,0.14667436937305162,18
1.25,0.08199999999999999,0.0,0.16444434490747958,4
1.25,0.091,0.0,0.2970082397525385,21
1.25,0.073,0.0,0.20991374354350836,16
1.25,0.091,0.0,0.1953364012997783,9
1.25,0.073,0.0,0.1838513207355958,5
1.25,0.091,0.0,0.20695928771110755,20
1.25,0.1,0.0,0.37725321689200586,17
1.25,0.1,0.0,0.15237637813088994,6
1.25,0.091,0.0,0.24730568492798366,19
1.25,0.08199999999999999,0.0,0.2216291515673235,8
1.25,0.091,0.0,0.23505846058862556,22
1.25,0.091,0.0,0.12390770651994824,25
