Exponent,Support,Constraints,Power Divergence,Dataset
0.42,0.091,7.0,0.3617726601922147,26
0.42,0.001,11.0,0.3156624097320801,36
0.42,0.1,6.0,0.1437642843640578,31
0.42,0.091,9.0,0.2631615586496526,39
0.42,0.064,7.0,0.1891882580609778,48
0.42,0.08199999999999999,6.0,0.12128232712786745,55
0.42,0.064,5.0,0.1437471526865024,32
0.42,0.073,9.0,0.34089313423998857,38
0.42,0.08199999999999999,8.0,0.21214983992348851,49
0.42,0.01,11.0,0.5311667089162353,54
0.42,0.08199999999999999,8.0,0.192163856454222,33
0.42,0.08199999999999999,8.0,0.4220250981366052,37
0.42,0.055,11.0,0.5070945254491401,53
0.42,0.073,5.0,0.12696480936716284,34
0.42,0.027999999999999997,11.0,0.2621751576713383,50
0.42,0.091,4.0,0.2573513315591367,43
0.42,0.08199999999999999,5.0,0.3137700960281707,52
0.42,0.073,11.0,0.35982250873882193,35
0.42,0.055,7.0,0.6083338623874888,47
0.42,0.064,5.0,0.1545198819019132,30
0.42,0.001,11.0,0.1561382367629774,56
0.42,0.091,9.0,0.1839955497311069,40
0.42,0.08199999999999999,4.0,0.19295389532072774,44
0.42,0.019,11.0,0.2297214741488401,60
0.42,0.08199999999999999,11.0,0.3923786864650616,27
0.42,0.027999999999999997,11.0,0.18937873575438136,42
0.42,0.1,9.0,0.10504927087823196,45
0.42,0.08199999999999999,11.0,0.299171018905856,57
0.42,0.08199999999999999,9.0,0.2551643894210947,28
0.42,0.091,5.0,0.3345549726656398,41
0.42,0.08199999999999999,6.0,0.2771133045540331,59
0.42,0.046,11.0,0.1382973151083884,51
0.42,0.073,7.0,0.23965421408870755,58
0.42,0.091,4.0,0.1764200145855242,29
0.42,0.055,6.0,0.1846050638882618,46
0.5,0.073,7.0,0.12694168804919553,36
0.5,0.073,6.0,0.39389775197322174,47
0.5,0.1,5.0,0.14784300610806295,44
0.5,0.064,5.0,0.1875127249563612,42
0.5,0.091,11.0,0.3317530260612366,50
0.5,0.091,4.0,0.2338501785909712,39
0.5,0.091,6.0,0.19876210118583468,38
0.5,0.046,9.0,0.4542579452692363,37
0.5,0.091,5.0,0.06057763540686581,49
0.5,0.064,4.0,0.20443596146587495,45
0.5,0.1,5.0,0.09700445228880926,48
0.5,0.091,5.0,0.22346919949903146,41
0.5,0.073,5.0,0.24019544865938025,40
0.5,0.08199999999999999,6.0,0.10644197797569803,46
0.5,0.091,6.0,0.21114178370275985,52
0.5,0.091,2.0,0.317822080207388,43
0.5,0.019,11.0,0.2050305195946884,28
0.5,0.1,11.0,0.4371981617515069,57
0.5,0.1,7.0,0.18362239174858128,30
0.5,0.1,2.0,0.2129696647605228,51
0.5,0.1,9.0,0.1553782366851569,56
0.5,0.08199999999999999,4.0,0.12433055792947832,31
0.5,0.1,9.0,0.2254591510922973,59
0.5,0.091,5.0,0.1123535362555806,55
0.5,0.1,6.0,0.10336203443455992,29
0.5,0.073,6.0,0.1030814676996123,32
0.5,0.037000000000000005,7.0,0.19182450896183773,58
0.5,0.073,8.0,0.5942501409455572,54
0.5,0.1,7.0,0.483064809444828,33
0.5,0.091,11.0,0.25231905581252645,60
0.5,0.055,11.0,0.5730678036959496,53
0.5,0.073,3.0,0.17938670178595173,34
0.5,0.08199999999999999,5.0,0.2752747657661521,26
0.5,0.046,5.0,0.3440644584745706,35
0.5,0.064,9.0,0.26885112192456884,27
0.63,0.037000000000000005,6.0,0.1206193970848626,44
0.63,0.064,6.0,0.3351117931670753,45
0.63,0.064,9.0,0.2471580675589505,60
0.63,0.037000000000000005,5.0,0.10228486110395267,58
0.63,0.073,7.0,0.24179816856050065,59
0.63,0.055,6.0,0.13341399729989858,51
0.63,0.1,6.0,0.21685104552682327,57
0.63,0.073,7.0,0.3962500703891415,47
0.63,0.027999999999999997,11.0,0.2115041038048001,55
0.63,0.091,7.0,0.11053288757090136,48
0.63,0.055,1.0,0.17923857941043042,54
0.63,0.055,6.0,0.21746313258955752,49
0.63,0.073,6.0,0.2315122044052597,53
0.63,0.037000000000000005,11.0,0.2691549934577607,52
0.63,0.1,0.0,0.20383084434005388,50
0.63,0.064,3.0,0.19699954401638772,46
0.63,0.073,6.0,0.16183453058106662,56
0.63,0.055,2.0,0.3000316781294237,43
0.63,0.1,5.0,0.13012462966509425,37
0.63,0.073,11.0,0.6046956864442707,31
0.63,0.1,4.0,0.13824762224550374,39
0.63,0.037000000000000005,6.0,0.32785445422045073,35
0.63,0.091,4.0,0.4013275641000418,30
0.63,0.064,5.0,0.3151313139764628,33
0.63,0.037000000000000005,9.0,0.19549500187497587,40
0.63,0.064,4.0,0.15520408205028496,29
0.63,0.055,7.0,0.1811711554436945,38
0.63,0.064,5.0,0.12309746724280902,32
0.63,0.08199999999999999,5.0,0.2362181358617239,28
0.63,0.055,5.0,0.14522772775805606,34
0.63,0.08199999999999999,5.0,0.09330482091193902,27
0.63,0.073,7.0,0.18042898292756132,42
0.63,0.091,4.0,0.3682239872284883,36
0.63,0.073,6.0,0.20246389893038275,26
0.63,0.073,7.0,0.305199213257747,41
0.83,0.055,4.0,0.15028535359264114,52
0.83,0.08199999999999999,0.0,0.1257658764146116,33
0.83,0.1,0.0,0.11717477379293464,60
0.83,0.073,6.0,0.1440198507160029,53
0.83,0.037000000000000005,6.0,0.1415294581384684,51
0.83,0.1,0.0,0.11505921169968865,32
0.83,0.046,2.0,0.16590923773885174,43
0.83,0.064,0.0,0.14980678245239085,55
0.83,0.1,9.0,0.4106208402629173,31
0.83,0.037000000000000005,4.0,0.2725201217159923,30
0.83,0.08199999999999999,3.0,0.3899051267596987,56
0.83,0.046,6.0,0.32996296168589906,29
0.83,0.08199999999999999,0.0,0.20214618129755346,57
0.83,0.055,9.0,0.16923273267173305,28
0.83,0.037000000000000005,5.0,0.055326640000371415,58
0.83,0.001,11.0,0.21675629518958411,27
0.83,0.055,6.0,0.08678110523857599,59
0.83,0.091,0.0,0.27620085203429345,26
0.83,0.1,0.0,0.1759263531248716,54
0.83,0.055,6.0,0.18781719398394012,35
0.83,0.027999999999999997,6.0,0.1489903884537246,34
