,#_diseases,file_num,tot_zeros,zv_nzemp,zv_zemp,nzv_zemp,time_taken_sec,dataset_num
0,15,1,0,0,0,0,0.035739660263061516,10
1,15,2,0,0,0,32680,2846.486744403839,10
2,15,3,0,0,0,32666,4771.654282093048,10
3,15,4,0,0,0,32630,4318.80970287323,10
4,15,5,0,0,0,32615,4218.20930147171,10
5,15,1,0,0,0,0,0.03488969802856445,20
6,15,2,0,0,0,41,0.10578441619873047,20
7,15,3,0,0,0,16287,942.5127065181732,20
8,15,4,0,0,0,32630,3106.2235884666443,20
9,15,5,0,0,0,32621,3023.5884177684784,20
10,15,1,0,0,0,0,0.03517413139343262,30
11,15,2,0,0,0,224,0.2563936710357666,30
12,15,3,0,0,0,32663,3342.354125499725,30
13,15,4,0,0,0,16269,396.4826533794403,30
14,15,5,0,0,0,32622,5407.120156288147,30
15,15,1,0,0,0,0,0.13228869438171387,40
16,15,2,0,0,0,1993,6.071109056472777,40
17,15,3,0,0,0,32666,2622.6970355510707,40
18,15,4,0,0,0,32630,3470.9414117336273,40
19,15,5,16,0,16,129,0.33951568603515625,40
20,15,1,0,0,0,0,0.026088476181030273,50
21,15,2,0,0,0,981,1.6932597160339355,50
22,15,3,0,0,0,32662,5499.622936010362,50
23,15,4,0,0,0,32620,4558.770931482315,50
24,15,5,0,0,0,32610,3064.885940551758,50
25,15,1,0,0,0,0,0.030553817749023438,51
26,15,2,0,0,0,16305,626.9057703018187,51
27,15,3,0,0,0,171,0.2887287139892578,51
28,15,4,0,0,0,32649,6640.129480838776,51
29,15,5,0,0,0,32612,4421.854759693146,51
30,15,1,0,0,0,0,0.0305936336517334,52
31,15,2,0,0,0,4040,28.675796508789066,52
32,15,3,0,0,0,32656,6533.730135679246,52
33,15,4,0,0,0,32633,4517.7872252464285,52
34,15,5,0,0,0,32608,3077.8695662021637,52
35,15,1,0,0,0,0,0.030254364013671875,53
36,15,2,0,0,0,473,0.7201437950134277,53
37,15,3,0,0,0,32660,5245.117405653,53
38,15,4,0,0,0,16269,621.2786908149718,53
39,15,5,0,0,0,32612,3637.1425635814667,53
40,15,1,0,0,0,0,0.03002643585205078,54
41,15,2,0,0,0,4,0.07145428657531737,54
42,15,3,0,0,0,16277,517.4692366123201,54
43,15,4,0,0,0,32625,3559.5708775520325,54
44,15,5,0,0,0,32608,4544.103857040405,54
45,15,1,0,0,0,0,0.030107736587524414,55
46,15,2,0,0,0,2,0.11362195014953612,55
47,15,3,0,0,0,32672,3198.242174386978,55
48,15,4,0,0,0,32644,6292.585915088654,55
49,15,5,0,0,0,32603,4898.708798885346,55
50,15,1,0,0,0,0,0.03392887115478516,56
51,15,2,0,0,0,1983,6.869985818862915,56
52,15,3,0,0,0,32654,5341.210299730301,56
53,15,4,0,0,0,32642,4397.470446109772,56
54,15,5,0,0,0,32626,5163.229796648026,56
55,15,1,0,0,0,0,0.028993606567382806,57
56,15,2,0,0,0,236,0.28543949127197266,57
57,15,3,0,0,0,32660,4911.880607843399,57
58,15,4,0,0,0,32629,3195.728972196579,57
59,15,5,0,0,0,32609,7075.333272218703,57
60,15,1,0,0,0,0,0.02864837646484375,58
61,15,2,0,0,0,3,0.09614849090576172,58
62,15,3,0,0,0,32651,3291.9740254879,58
63,15,4,0,0,0,16261,514.7850110530853,58
64,15,5,0,0,0,16242,594.6453495025635,58
65,15,1,0,0,0,0,0.020536184310913086,59
66,15,2,0,0,0,16310,485.2698349952698,59
67,15,3,0,0,0,16280,482.573231458664,59
68,15,4,0,0,0,156,0.2726504802703857,59
69,15,5,0,0,0,134,0.21925711631774905,59
70,15,1,0,0,0,0,0.036002397537231445,60
71,15,2,0,0,0,32678,2646.5272080898285,60
72,15,3,0,0,0,16284,391.8276433944702,60
73,15,4,0,0,0,16253,420.4139175415039,60
74,15,5,0,0,0,32598,2846.5935366153717,60
