,#_diseases,dataset_num,exponent,exact_zeros,approx_zeros,difference
82,7,6,0.63,0,104,104
83,7,6,0.5,0,103,103
84,7,6,0.42,0,0,0
85,10,6,1.25,0,0,0
86,10,6,0.8,0,0,0
87,10,6,0.63,0,996,996
88,10,6,0.5,0,235,235
89,10,6,0.42,0,994,994
90,4,7,1.25,0,0,0
91,4,7,0.8,0,0,0
92,4,7,0.63,2,2,0
93,4,7,0.5,1,1,0
94,4,7,0.42,2,2,0
95,7,7,1.25,0,0,0
96,7,7,0.8,0,0,0
97,7,7,0.63,0,107,107
98,7,7,0.5,0,100,100
99,7,7,0.42,0,0,0
100,10,7,1.25,0,0,0
101,10,7,0.8,0,1,1
102,10,7,0.63,64,484,420
103,10,7,0.5,0,976,976
104,10,7,0.42,0,978,978
105,4,8,1.25,0,0,0
106,4,8,0.8,1,2,1
107,4,8,0.63,0,0,0
108,4,8,0.5,1,1,0
109,4,8,0.42,2,2,0
110,7,8,1.25,0,0,0
111,7,8,0.8,0,0,0
112,7,8,0.63,0,104,104
113,7,8,0.5,0,102,102
114,7,8,0.42,0,0,0
115,10,8,1.25,0,0,0
116,10,8,0.8,0,0,0
117,10,8,0.63,0,982,982
118,10,8,0.5,0,488,488
119,10,8,0.42,0,982,982
120,4,9,1.25,0,0,0
121,4,9,0.8,0,0,0
122,4,9,0.63,0,0,0
123,4,9,0.5,0,0,0
124,4,9,0.42,0,0,0
125,7,9,1.25,0,0,0
126,7,9,0.8,0,0,0
