,#_diseases,file_num,tot_zeros,zv_nzemp,zv_zemp,nzv_zemp,dataset_num
830,7,1,0,0,0,0,56
831,7,2,50,15,35,2,56
832,7,3,103,21,82,10,56
833,7,4,45,20,25,4,56
834,7,5,0,0,0,0,56
835,10,1,0,0,0,0,56
836,10,2,0,0,0,0,56
837,10,3,992,50,942,14,56
838,10,4,984,60,924,14,56
839,10,5,980,75,905,19,56
840,4,1,0,0,0,0,57
841,4,2,0,0,0,0,57
842,4,3,0,0,0,1,57
843,4,4,4,0,4,0,57
844,4,5,2,0,2,0,57
845,7,1,0,0,0,0,57
846,7,2,18,7,11,1,57
847,7,3,90,14,76,15,57
848,7,4,84,9,75,12,57
849,7,5,0,0,0,0,57
850,10,1,0,0,0,0,57
851,10,2,0,0,0,0,57
852,10,3,993,52,941,13,57
853,10,4,975,67,908,16,57
854,10,5,971,81,890,25,57
855,4,1,0,0,0,0,58
856,4,2,0,0,0,0,58
