prob_non_robust,prob_robust
1.682989009565847e-08,0.0024751808912667293
1.4001503080098865e-09,0.00043560432133643725
3.164292635793767e-09,0.00025397348560691915
4.920414499448984e-10,6.447609793778991e-05
3.451603122731196e-10,0.0002564301616620509
2.0453966820647414e-11,4.512885782817442e-05
4.5091821342134445e-10,7.19137433912162e-05
4.9944324107996913e-11,1.825669931994987e-05
1.642978981042432e-09,0.0003467378791548643
1.497420247574672e-10,6.102201219466909e-05
2.342666583160502e-10,7.599284246288469e-05
3.990743777026483e-11,1.9292257778402086e-05
6.949688520906018e-11,5.576352376045646e-05
4.511701387313463e-12,9.813760282615356e-06
6.885339818728308e-11,3.3402807017225754e-05
8.354722996043697e-12,8.479950777117916e-06
2.2348586614938486e-09,0.000330503885948048
3.91237376641778e-10,9.55977368817493e-05
9.688712827002179e-10,7.881478549245311e-05
3.170209975107765e-10,3.2885456126166305e-05
8.69430198386679e-11,5.204555492120564e-05
1.084147343585604e-11,1.505409611433171e-05
2.6189807466396475e-10,3.392158411136981e-05
6.104042710924105e-11,1.4153775323430054e-05
2.181728927262705e-10,4.629892581605182e-05
4.184170556831801e-11,1.3391892550292978e-05
7.172985051037457e-11,2.358261754513971e-05
2.5712256013076408e-11,9.839843244832716e-06
1.7505688964250907e-11,1.1317871188256148e-05
2.3913938635950875e-12,3.273676703718142e-06
3.9990782990331036e-11,1.5756044315850136e-05
1.0210887206225093e-11,6.574206867827335e-06
1.1280699625393486e-09,0.0002827035952800428
2.420576412679649e-10,9.379428439666483e-05
3.196297303760546e-10,7.023575748340052e-05
1.2819219941712524e-10,3.361463843344705e-05
4.1732312659877645e-11,3.7064124949438054e-05
6.378499527569276e-12,1.2296989265302536e-05
8.216089271344659e-11,2.5167613988490832e-05
2.3471610700543816e-11,1.204515014528927e-05
1.2160464472978621e-10,3.9602780306974245e-05
2.8585858416863455e-11,1.3139254332197058e-05
2.6130300910852083e-11,2.1015638073173807e-05
1.1480932267593825e-11,1.0058026005412976e-05
9.278554862512088e-12,8.05999652647097e-06
1.5536197326544857e-12,2.674113874254354e-06
1.3853392898748784e-11,1.1689962356267398e-05
4.33562996159798e-12,5.594783511794628e-06
1.4979758704440065e-10,3.77486094617194e-05
6.763702155690737e-11,2.058409634976755e-05
9.786707567926677e-11,2.1796039640617313e-05
8.259389313007712e-11,1.7144845186919547e-05
1.0512023423568488e-11,7.522605524090665e-06
3.3808763745014124e-12,4.10203287265997e-06
4.7719916769513556e-11,1.1871518496106495e-05
2.868628553276648e-11,9.33818024307985e-06
1.6148007622601893e-11,5.288046959308611e-06
7.987611181518962e-12,2.883541133426058e-06
8.000808103037327e-12,6.521716244379081e-06
7.397134124033376e-12,5.130006056445716e-06
2.337191011831118e-12,1.6358722747911888e-06
8.234846183476058e-13,8.920316006438016e-07
8.046197336357182e-12,5.514134331314847e-06
5.2988744841416005e-12,4.337438406658792e-06
2.056944137175868e-09,0.0003437495062140935
4.134154842423613e-10,0.00011048142940899941
2.0122283291888208e-09,0.00016060913188659177
7.559153584509133e-10,7.446334941922074e-05
4.2185390200446665e-11,3.5612646235572105e-05
6.039342025967262e-12,1.1445939528688448e-05
2.8674667852457646e-10,4.5477203532397775e-05
7.672866110144368e-11,2.108463483653677e-05
1.8848961288900525e-10,4.815445011140499e-05
4.15020909233605e-11,1.5476887630491236e-05
7.032978292512032e-10,0.00013331840278114118
2.894366351834721e-10,6.18105253025984e-05
7.972981481318827e-12,7.744356715522635e-06
1.2504508437000972e-12,2.4890438657131814e-06
2.0670651909993724e-10,5.860037255637862e-05
6.059429136456999e-11,2.716894093446271e-05
4.348724351540195e-10,6.274911451167986e-05
1.8391748410967553e-10,3.314672371045523e-05
9.809283869115058e-10,6.813738236247884e-05
7.754076984442772e-10,5.192106390662508e-05
1.6917903314571555e-11,9.881313426033392e-06
5.096487803592968e-12,5.219725705741631e-06
2.6515726134370557e-10,2.9326070387626957e-05
1.49299943752854e-10,2.2346628560310472e-05
3.984986051727255e-11,8.790264566680083e-06
1.8463169471999653e-11,4.643387770504953e-06
3.4284618457978803e-10,5.655946756917837e-05
2.969001656389108e-10,4.30986285114631e-05
3.197460760441033e-12,2.1487989261704525e-06
1.0552320843079584e-12,1.1350860465423335e-06
1.9114339802799744e-10,3.778857354554032e-05
1.1790541060678124e-10,2.8795102981217888e-05
1.880762720918357e-10,4.41639177433695e-05
9.749618695438623e-11,2.675929088790048e-05
2.7727105967371575e-10,4.996216474845881e-05
2.686518489687932e-10,4.366901402792094e-05
6.957775715588145e-12,5.790152629206788e-06
2.5691375788460226e-12,3.5083023972335033e-06
7.1272587063767e-11,1.7902967398276807e-05
4.918935505941909e-11,1.564793956372512e-05
1.9031031744135855e-11,6.186741028720871e-06
1.0807724611488793e-11,3.748598659151018e-06
1.070113790128034e-10,4.1472585808234656e-05
1.1358829109538602e-10,3.624876825397803e-05
1.4520865754802989e-12,1.2591315764990412e-06
5.873916387831498e-13,7.629184602114958e-07
5.6733777508302845e-11,2.3069152848334886e-05
4.2895192366035685e-11,2.016340093384893e-05
3.976247335115319e-11,8.061820254767478e-06
4.337344414614468e-11,8.028343102489667e-06
1.3516510495239174e-10,2.119612429962401e-05
2.7557941449765996e-10,3.0449095907814967e-05
2.7903256620712214e-12,1.606572916129282e-06
2.1680471614362746e-12,1.5999015336797836e-06
