Exponent,# Diseases,Power Divergence
1.25,4.0,0.0
0.83,4.0,0.0
0.63,4.0,0.0
0.5,4.0,0.0
0.42,4.0,0.0
1.25,7.0,0.2565
0.83,7.0,0.3612
0.63,7.0,0.4126
0.5,7.0,0.4364
0.42,7.0,0.4467
1.25,10.0,0.6176
0.83,10.0,1.076
0.63,10.0,1.4558
0.5,10.0,1.7512
0.42,10.0,1.9749
1.25,15.0,0.6385
0.83,15.0,1.0639
0.63,15.0,1.3992
0.5,15.0,1.6595
0.42,15.0,1.8617
