Exponent,# Diseases,Power Divergence
1.25,4.0,0.0
0.83,4.0,0.0
0.63,4.0,0.0
0.5,4.0,0.0
0.42,4.0,0.0
1.25,7.0,0.0998
0.83,7.0,0.2366
0.63,7.0,0.3676
0.5,7.0,0.4743
0.42,7.0,0.5569
1.25,10.0,0.1768
0.83,10.0,0.3789
0.63,10.0,0.5871
0.5,10.0,0.7734
0.42,10.0,0.9292
1.25,15.0,0.2198
0.83,15.0,0.3972
0.63,15.0,0.5648
0.5,15.0,0.7193
0.42,15.0,0.8587
