Exponent,# Diseases,Power Divergence
1.25,4.0,0.0
0.83,4.0,0.0
0.63,4.0,0.0
0.5,4.0,0.0
0.42,4.0,0.0
1.25,7.0,0.288
0.83,7.0,0.429
0.63,7.0,0.5135
0.5,7.0,0.5636
0.42,7.0,0.5939
1.25,10.0,0.16
0.83,10.0,0.337
0.63,10.0,0.5134
0.5,10.0,0.6665
0.42,10.0,0.7913
1.25,15.0,0.1069
0.83,15.0,0.2075
0.63,15.0,0.3141
0.5,15.0,0.4211
0.42,15.0,0.5235
