Exponent,# Diseases,Power Divergence
1.25,4.0,0.0
0.83,4.0,0.0
0.63,4.0,0.0
0.5,4.0,0.0
0.42,4.0,0.0
1.25,7.0,0.2565
0.83,7.0,0.3612
0.63,7.0,0.4126
0.5,7.0,0.4364
0.42,7.0,0.4467
1.25,10.0,0.3644
0.83,10.0,0.6628
0.63,10.0,0.925
0.5,10.0,1.1387
0.42,10.0,1.3071
1.25,15.0,0.6576
0.83,15.0,1.1809
0.63,15.0,1.6515
0.5,15.0,2.057
0.42,15.0,2.3984
