Exponent,# Diseases,Power Divergence
1.25,4.0,0.0
0.83,4.0,0.0
0.63,4.0,0.0
0.5,4.0,0.0
0.42,4.0,0.0
1.25,7.0,0.5769
0.83,7.0,0.8652
0.63,7.0,1.0331
0.5,7.0,1.1276
0.42,7.0,1.181
1.25,10.0,0.3431
0.83,10.0,0.5789
0.63,10.0,0.7636
0.5,10.0,0.9012
0.42,10.0,1.0016
1.25,15.0,0.1585
0.83,15.0,0.2775
0.63,15.0,0.3848
0.5,15.0,0.4803
0.42,15.0,0.5641
