Exponent,# Diseases,Power Divergence
1.25,4.0,0.0
0.83,4.0,0.0
0.63,4.0,0.0
0.5,4.0,0.0
0.42,4.0,0.0
1.25,7.0,0.497
0.83,7.0,0.7851
0.63,7.0,0.9792
0.5,7.0,1.1064
0.42,7.0,1.1907
1.25,10.0,0.2578
0.83,10.0,0.5293
0.63,10.0,0.7967
0.5,10.0,1.0291
0.42,10.0,1.2199
1.25,15.0,0.0856
0.83,15.0,0.1683
0.63,15.0,0.2579
0.5,15.0,0.3493
0.42,15.0,0.4378
