Exponent,# Diseases,Power Divergence
1.25,4.0,0.0
0.83,4.0,0.0
0.63,4.0,0.0
0.5,4.0,0.0
0.42,4.0,0.0
1.25,7.0,0.2718
0.83,7.0,0.4719
0.63,7.0,0.6327
0.5,7.0,0.753
0.42,7.0,0.8416
1.25,10.0,0.0933
0.83,10.0,0.2153
0.63,10.0,0.3451
0.5,10.0,0.4626
0.42,10.0,0.5613
1.25,15.0,0.5186
0.83,15.0,0.9379
0.63,15.0,1.3127
0.5,15.0,1.63
0.42,15.0,1.8909
