Exponent,# Diseases,Power Divergence
1.25,4.0,0.0
0.83,4.0,0.0
0.63,4.0,0.0
0.5,4.0,0.0
0.42,4.0,0.0
1.25,7.0,0.3335
0.83,7.0,0.4922
0.63,7.0,0.5836
0.5,7.0,0.6354
0.42,7.0,0.6649
1.25,10.0,0.5008
0.83,10.0,0.779
0.63,10.0,0.9719
0.5,10.0,1.1052
0.42,10.0,1.1978
1.25,15.0,0.4976
0.83,15.0,0.7864
0.63,15.0,0.9939
0.5,15.0,1.1465
0.42,15.0,1.2621
