Exponent,# Diseases,Power Divergence
1.25,4.0,0.0
0.83,4.0,0.0
0.63,4.0,0.0
0.5,4.0,0.0
0.42,4.0,0.0
1.25,7.0,0.2565
0.83,7.0,0.3612
0.63,7.0,0.4126
0.5,7.0,0.4364
0.42,7.0,0.4467
1.25,10.0,0.554
0.83,10.0,0.952
0.63,10.0,1.2655
0.5,10.0,1.4985
0.42,10.0,1.6681
1.25,15.0,0.5303
0.83,15.0,0.9228
0.63,15.0,1.2619
0.5,15.0,1.5457
0.42,15.0,1.7789
