Exponent,# Diseases,Power Divergence
1.25,4.0,0.0
0.83,4.0,0.0
0.63,4.0,0.0
0.5,4.0,0.0
0.42,4.0,0.0
1.25,7.0,0.2565
0.83,7.0,0.3612
0.63,7.0,0.4126
0.5,7.0,0.4364
0.42,7.0,0.4467
1.25,10.0,0.1349
0.83,10.0,0.262
0.63,10.0,0.3803
0.5,10.0,0.4785
0.42,10.0,0.5557
1.25,15.0,0.2777
0.83,15.0,0.5353
0.63,15.0,0.7838
0.5,15.0,1.0075
0.42,15.0,1.202
