Exponent,# Diseases,Power Divergence
1.25,4.0,0.0
0.83,4.0,0.0
0.63,4.0,0.0
0.5,4.0,0.0
0.42,4.0,0.0
1.25,7.0,0.462
0.83,7.0,0.6558
0.63,7.0,0.7538
0.5,7.0,0.8014
0.42,7.0,0.8237
1.25,10.0,0.166
0.83,10.0,0.3276
0.63,10.0,0.4804
0.5,10.0,0.6092
0.42,10.0,0.7118
1.25,15.0,0.1209
0.83,15.0,0.2326
0.63,15.0,0.3501
0.5,15.0,0.4675
0.42,15.0,0.5796
