Exponent,# Diseases,Power Divergence
1.25,4.0,0.0
0.83,4.0,0.0
0.63,4.0,0.0
0.5,4.0,0.0
0.42,4.0,0.0
1.25,7.0,0.3046
0.83,7.0,0.495
0.63,7.0,0.6309
0.5,7.0,0.7239
0.42,7.0,0.7878
1.25,10.0,0.1102
0.83,10.0,0.2302
0.63,10.0,0.3477
0.5,10.0,0.4477
0.42,10.0,0.5276
1.25,15.0,0.1028
0.83,15.0,0.1983
0.63,15.0,0.2939
0.5,15.0,0.3848
0.42,15.0,0.4682
