Exponent,# Diseases,Power Divergence
1.25,4.0,0.0
0.83,4.0,0.0
0.63,4.0,0.0
0.5,4.0,0.0
0.42,4.0,0.0
1.25,7.0,0.3095
0.83,7.0,0.5219
0.63,7.0,0.6802
0.5,7.0,0.7914
0.42,7.0,0.8691
1.25,10.0,0.547
0.83,10.0,0.9175
0.63,10.0,1.2079
0.5,10.0,1.4258
0.42,10.0,1.5865
1.25,15.0,0.1876
0.83,15.0,0.3412
0.63,15.0,0.4915
0.5,15.0,0.635
0.42,15.0,0.7683
