index,#_diseases,dataset_num,file_num,kl_div,js_div,pow_div
0,4,30,1,0.0781140439764461,0.13631285866696394,0.17145679815677667
1,4,30,2,0.1576602975105038,0.20697888921187702,0.29389979964175217
2,4,30,3,0.21617130951117172,0.254870426108898,0.34490733634417087
3,4,30,4,0.08634434375579324,0.15252834122853984,0.16339086437843817
4,4,30,5,0.12160218463920625,0.18097184158840499,0.22571278327469219
5,7,30,1,0.05260071634952387,0.12353600980726644,0.08746489381219652
6,7,30,2,0.082277398169666,0.14872192018143154,0.1545394275036191
7,7,30,3,0.12425646672848917,0.1731541998260696,0.2771102182300248
8,7,30,4,0.13093309725659996,0.18731739492270452,0.24917384697521888
9,7,30,5,0.14015417260648425,0.19096553641727412,0.28059744290814254
10,10,30,1,0.2524577764295944,0.2121570199893571,0.9156038521723106
11,10,30,2,0.510148457616866,0.2862956631002998,2.755226953767954
12,10,30,3,0.4765363181985517,0.3004300555602032,2.1760980671101473
13,10,30,4,0.6279645428120377,0.3375421877909671,3.1489969667005826
14,10,30,5,0.7260031002338969,0.3428911958609446,5.927862399665779
15,15,30,1,0.2023552861939657,0.2043824706308984,0.602309655131079
16,15,30,2,0.49249297811579495,0.2992182561914798,1.8985201955108832
17,15,30,3,0.7692202453664396,0.34730832988187493,6.7167491403552475
18,15,30,4,0.8369424791790857,0.37630229741839427,6.05256469912594
19,15,30,5,0.8420083789953885,0.37082925762097557,15.497568583569539
20,4,31,1,0.07670270118409159,0.1327460532929482,0.17821291213163712
21,4,31,2,0.1715740755839101,0.2048296536000942,0.37763782362588094
22,4,31,3,0.2804362291443109,0.2749369271541909,0.537438426010812
23,4,31,4,0.05757923010237434,0.1203447044759863,0.11601288435179728
24,4,31,5,0.05843243237252975,0.1222540753876467,0.11503559480685673
25,7,31,1,0.07997466975389785,0.14606309358660688,0.15220013609525468
26,7,31,2,0.0981526494642257,0.1584942995579398,0.19644389744003665
27,7,31,3,0.11310691748585702,0.16509933870163146,0.248682656832362
28,7,31,4,0.09762008202266448,0.15190200942755414,0.21628023428855706
29,7,31,5,0.11973449033186659,0.16669438850232784,0.2741422081417413
30,10,31,1,0.21967357239806568,0.2077436889357851,0.6863238125290458
31,10,31,2,0.47769377024774107,0.28416792251524287,1.9416662343174278
32,10,31,3,0.6241256498250348,0.32062545188034025,4.725827771890417
33,10,31,4,0.7618255584989788,0.3632894475954426,3.453914554037497
34,10,31,5,0.6981455671122897,0.35167130395095786,3.7595985566122576
35,15,31,1,0.11784633689993344,0.17261520274306877,0.24397589384801802
36,15,31,2,0.17644424584999646,0.20965247399476628,0.3716992452393135
37,15,31,3,0.2752207447450349,0.2456801000772049,0.7643969986612204
38,15,31,4,0.3181678793546542,0.27585277267268266,0.8147233226367266
39,15,31,5,0.2916692149125619,0.2692916575599845,0.660053384379639
40,4,32,1,0.030003951209658573,0.09137424397368156,0.05312790218624181
41,4,32,2,0.09734397107455317,0.16583141250697134,0.1701893245483098
42,4,32,3,0.05642920959634726,0.11742920562400541,0.12034179074086675
43,4,32,4,0.08262079313221729,0.1466711745752212,0.1604465939817687
44,4,32,5,0.1424310324661488,0.20043205271207934,0.2488075833375042
45,7,32,1,0.052873856623028265,0.11357760159899193,0.11142094873443523
46,7,32,2,0.09650259489984528,0.16030842737296946,0.18331991794235486
47,7,32,3,0.1154378291852293,0.16289134423969345,0.28223401060311487
48,7,32,4,0.13111790833602713,0.18383333809450078,0.2646763561285757
49,7,32,5,0.11305756954485419,0.17115011282659068,0.22269422946156878
50,10,32,1,0.44145910406942007,0.2494245933945492,2.782294562896408
51,10,32,2,0.6680153473582815,0.3165702239901836,4.232058516776398
52,10,32,3,1.0331175622884166,0.37203097586029354,18.100610663766012
53,10,32,4,1.1483019214077486,0.3932477899142725,46.54052465480762
54,10,32,5,1.2241837857833608,0.4108461789970507,27.246418596999582
55,15,32,1,0.49002329250794147,0.2648034333398299,3.362384514068643
56,15,32,2,0.9583683619631826,0.3587888917279056,9.817417819069863
57,15,32,3,1.5542033327259346,0.4357965174628275,56.12044398584938
58,15,32,4,1.7837469493468625,0.4746763701793721,335.0095992097964
59,15,32,5,2.3698297814962377,0.5173161606827039,931.7280804036161
60,4,33,1,0.05647398023326258,0.11859722131673639,0.1165337360718606
61,4,33,2,0.09957181714774188,0.16533796830436973,0.18150151965558936
62,4,33,3,0.1607479197834017,0.20974621420380193,0.2986077442742901
63,4,33,4,0.16944965743910773,0.20362763799413597,0.3731152349216005
64,4,33,5,0.07528900615211329,0.14011859959654638,0.14435849728396744
65,7,33,1,0.0461490040414218,0.10744240819815452,0.09474986993260053
66,7,33,2,0.094021058338871,0.15867660002102296,0.17727831472441047
67,7,33,3,0.13364936562475668,0.17600979900024216,0.322509160109272
68,7,33,4,0.10629121457314625,0.16640510649351978,0.20843764165611633
69,7,33,5,0.10860887862097088,0.166486627502831,0.21860017748627164
70,10,33,1,0.5498118222671856,0.3105739806116423,2.1634788670454776
71,10,33,2,1.0308902378784477,0.41387022552375,4.776404217948063
72,10,33,3,1.3879053223136104,0.47540269525408607,7.220789615260379
73,10,33,4,1.530180269075356,0.49929117643660376,9.273004181764092
74,10,33,5,1.6437125580608254,0.521109168681027,9.842940889716196
75,15,33,1,0.3292815843045987,0.2697870939238707,0.8995709426687566
76,15,33,2,0.7323377068141014,0.3777377099409996,2.537296603671555
77,15,33,3,1.1376359966762992,0.4339022512116542,9.106442914031206
78,15,33,4,1.3965061858828987,0.45247140159954724,48.983488861850645
79,15,33,5,1.5563992930000898,0.48211030596607224,31.847692238258812
80,4,34,1,0.04575830032077216,0.1071038361242152,0.0937648141237857
81,4,34,2,0.06375492522820168,0.1239725856639043,0.1372646011818864
82,4,34,3,0.10526027280391304,0.16872869515800176,0.19645916434892785
83,4,34,4,0.14184832202824668,0.19832506691292062,0.2533034477267655
84,4,34,5,0.13473776662388132,0.1917872089394453,0.247785215512759
85,7,34,1,0.0578483999780902,0.12069372600248386,0.11805950378858884
86,7,34,2,0.07607546663854373,0.1479709129474552,0.12927508923936054
87,7,34,3,0.11473462864194062,0.16352001168195568,0.2688905284541722
88,7,34,4,0.11176492151864492,0.1602884070331672,0.2586336920411047
89,7,34,5,0.12956845958071886,0.17572196711515745,0.2877110611841306
90,10,34,1,0.045201477373804054,0.10616780044926911,0.09394696788303174
91,10,34,2,0.15398793645544953,0.18773347171976718,0.3796731688626148
92,10,34,3,0.18114190049312995,0.20007184777154216,0.4842906574741663
93,10,34,4,0.1304901678154241,0.17734406844952263,0.29497789944293673
94,10,34,5,0.21538650474377627,0.2280699772208128,0.4869020767532173
95,15,34,1,0.25184234053146376,0.2258999955701903,0.8003041678979795
96,15,34,2,0.42994745407547635,0.2904868637534122,1.3822411691776881
97,15,34,3,0.6130777226956289,0.3495352913950557,2.0457618412517022
98,15,34,4,0.8296639474947043,0.37510989064614497,6.714647552683585
99,15,34,5,1.0754531348178369,0.40748074305504456,15.312996659171544
100,4,35,1,0.10227361434879617,0.1746142818573942,0.16268186355188605
101,4,35,2,0.09125728542385343,0.16054109481155543,0.16088973682750227
102,4,35,3,0.21201415389843833,0.24432023717166557,0.3801457631878469
103,4,35,4,0.2088436737536552,0.2327472972978698,0.4265508766541201
104,4,35,5,0.1869973226237691,0.2308828956062162,0.3268788746410708
105,7,35,1,0.03740689610476879,0.09740671113618313,0.07522107086406295
106,7,35,2,0.07731775959095806,0.1448920479561355,0.14267548181656903
107,7,35,3,0.16933106774436557,0.20547021031466378,0.3798039787118268
108,7,35,4,0.13045663149367592,0.1833366089408232,0.26096657088771935
109,7,35,5,0.20217633017189837,0.220752653098459,0.4641537474923354
110,10,35,1,0.16791399206239394,0.19291200102050948,0.41763856227369156
111,10,35,2,0.28391262359114333,0.2499157551555854,0.7312674399356226
112,10,35,3,0.33434178627113575,0.28260244027170517,0.7568917910294958
113,10,35,4,0.27743980325663736,0.24937152063693702,0.7234795443130723
114,10,35,5,0.34287794034964325,0.27195176365057383,0.985774146472749
115,15,35,1,0.3858209257546104,0.2781931815930465,1.2836394993223774
116,15,35,2,0.8267167973578042,0.3824355007210389,3.2870946419478693
117,15,35,3,1.0379010105373137,0.4073795946969591,7.6312325028137895
118,15,35,4,1.13279599885192,0.4338025995983425,6.292978381527851
119,15,35,5,1.1258572670071905,0.43189420002556955,6.140058348795895
