index,#_diseases,dataset_num,file_num,sup_num,constraints,support,kl_div,js_div,pow_div
9671,20,9,6,12,21,0.03,0.43365293886660194,0.30355625246959,1.198866949175173
9672,20,9,7,1,69,0.005,0.15817057567908557,0.1890475838517643,0.4338913104154456
9673,20,9,7,2,95,0.0072,0.10320672843321312,0.15549268680715933,0.2631418599023508
9674,20,9,7,3,43,0.0095,0.13849809340771155,0.18056197246030564,0.331537833004505
9675,20,9,7,4,24,0.0118,0.15872091312199113,0.19573239413356125,0.35762392825068423
9676,20,9,7,5,21,0.01409,0.14824790957599923,0.19376994385009688,0.301246381740484
9677,20,9,7,6,21,0.0163,0.14824790957599923,0.19376994385009688,0.301246381740484
9678,20,9,7,7,21,0.0186,0.14824790957599923,0.19376994385009688,0.301246381740484
9679,20,9,7,8,21,0.0209,0.14824790957599923,0.19376994385009688,0.301246381740484
9680,20,9,7,9,21,0.02318,0.14824790957599923,0.19376994385009688,0.301246381740484
9681,20,9,7,10,21,0.02545,0.14824790957599923,0.19376994385009688,0.301246381740484
9682,20,9,7,11,21,0.02772,0.14824790957599923,0.19376994385009688,0.301246381740484
9683,20,9,7,12,21,0.03,0.14824790957599923,0.19376994385009688,0.301246381740484
9684,20,9,8,1,114,0.005,0.1272912826076712,0.17000181155820746,0.5970432914898292
9685,20,9,8,2,41,0.0072,0.13329281911649396,0.17745474723699153,0.3357101937662475
9686,20,9,8,3,25,0.0095,0.14533067310412648,0.18765159491389188,0.33321898976998837
9687,20,9,8,4,21,0.0118,0.12923455023766708,0.18290762116866055,0.25545416535035326
9688,20,9,8,5,21,0.01409,0.12923455023766708,0.18290762116866055,0.25545416535035326
9689,20,9,8,6,21,0.0163,0.12923455023766708,0.18290762116866055,0.25545416535035326
9690,20,9,8,7,21,0.0186,0.12923455023766708,0.18290762116866055,0.25545416535035326
9691,20,9,8,8,21,0.0209,0.12923455023766708,0.18290762116866055,0.25545416535035326
9692,20,9,8,9,21,0.02318,0.12923455023766708,0.18290762116866055,0.25545416535035326
9693,20,9,8,10,21,0.02545,0.12923455023766708,0.18290762116866055,0.25545416535035326
9694,20,9,8,11,21,0.02772,0.12923455023766708,0.18290762116866055,0.25545416535035326
9695,20,9,8,12,21,0.03,0.12923455023766708,0.18290762116866055,0.25545416535035326
9696,20,9,9,1,121,0.005,0.3293605144186173,0.26570514905610043,1.1571690952250877
9697,20,9,9,2,94,0.0072,0.31155308439790713,0.25691795261995937,1.0745517761353178
9698,20,9,9,3,78,0.0095,0.30139742824972354,0.2553312179646514,1.0233039135677935
9699,20,9,9,4,73,0.0118,0.29071454751428555,0.2509999256860318,0.9243172459838039
9700,20,9,9,5,62,0.01409,0.29641111897883904,0.2536371298952691,0.9083850521563989
9701,20,9,9,6,119,0.0163,0.156476289080295,0.19359633789288125,0.3788467814870615
9702,20,9,9,7,84,0.0186,0.18187840359184937,0.2057068541100189,0.4777970937342279
9703,20,9,9,8,53,0.0209,0.26354276668721743,0.24196512755752547,0.8040672494697017
9704,20,9,9,9,44,0.02318,0.2793135881234861,0.24809880473161028,0.8215545402007242
9705,20,9,9,10,32,0.02545,0.31607958389024915,0.26735613747506026,0.8519799915797851
9706,20,9,9,11,27,0.02772,0.30602329092499975,0.26748601807562955,0.7803068314804746
9707,20,9,9,12,22,0.03,0.27656992293224536,0.26558253931846987,0.5777724947995656
9708,20,9,10,1,91,0.005,0.42694216024730786,0.31091948141436,1.228560441699864
9709,20,9,10,2,40,0.0072,0.4542365909949139,0.31933515922710065,1.2687040404287704
9710,20,9,10,3,25,0.0095,0.48155957009365324,0.32858433565099,1.298133717236476
9711,20,9,10,4,21,0.0118,0.465241322924722,0.3249415286538813,1.174963601116825
9712,20,9,10,5,21,0.01409,0.465241322924722,0.3249415286538813,1.174963601116825
9713,20,9,10,6,21,0.0163,0.465241322924722,0.3249415286538813,1.174963601116825
9714,20,9,10,7,21,0.0186,0.465241322924722,0.3249415286538813,1.174963601116825
9715,20,9,10,8,21,0.0209,0.465241322924722,0.3249415286538813,1.174963601116825
9716,20,9,10,9,21,0.02318,0.465241322924722,0.3249415286538813,1.174963601116825
9717,20,9,10,10,21,0.02545,0.465241322924722,0.3249415286538813,1.174963601116825
9718,20,9,10,11,21,0.02772,0.465241322924722,0.3249415286538813,1.174963601116825
9719,20,9,10,12,21,0.03,0.465241322924722,0.3249415286538813,1.174963601116825
9720,4,10,1,1,16,0.001,0.11741669957076858,0.1730617152053334,0.23533623192457884
9721,4,10,1,2,16,0.01,0.11741669957076858,0.1730617152053334,0.23533623192457884
9722,4,10,1,3,16,0.019,0.11741669957076858,0.1730617152053334,0.23533623192457884
9723,4,10,1,4,16,0.028,0.11741669957076858,0.1730617152053334,0.23533623192457884
9724,4,10,1,5,16,0.037,0.11741669957076858,0.1730617152053334,0.23533623192457884
9725,4,10,1,6,16,0.046,0.11741669957076858,0.1730617152053334,0.23533623192457884
9726,4,10,1,7,15,0.055,0.11741582175791049,0.17306072545516213,0.2353358205748035
9727,4,10,1,8,15,0.064,0.11741582175791049,0.17306072545516213,0.2353358205748035
9728,4,10,1,9,13,0.073,0.11783754707669136,0.1733102641358646,0.23617303178704735
9729,4,10,1,10,11,0.082,0.11800531031230338,0.17321290102045078,0.237467988185604
9730,4,10,1,11,11,0.091,0.11800531031230338,0.17321290102045078,0.237467988185604
9731,4,10,1,12,11,0.1,0.11800531031230338,0.17321290102045078,0.237467988185604
9732,4,10,2,1,16,0.001,0.10626505967450686,0.1651006686685919,0.21206244583043168
9733,4,10,2,2,16,0.01,0.10626505967450686,0.1651006686685919,0.21206244583043168
9734,4,10,2,3,16,0.019,0.10626505967450686,0.1651006686685919,0.21206244583043168
9735,4,10,2,4,15,0.028,0.10626581594955394,0.16510135983200488,0.21206368533609246
9736,4,10,2,5,14,0.037,0.10606439211880384,0.16506364590192005,0.21127282693300864
9737,4,10,2,6,11,0.046,0.10535403073234524,0.16459230107605471,0.2093705691544374
9738,4,10,2,7,11,0.055,0.10535403073234524,0.16459230107605471,0.2093705691544374
9739,4,10,2,8,10,0.064,0.11278171258279743,0.17054639607370203,0.22464795561482578
9740,4,10,2,9,8,0.073,0.11790962271246702,0.16809476782756477,0.26002983524458956
9741,4,10,2,10,5,0.082,0.20289654345075997,0.22080370174008088,0.45440637368927006
